title,channel_id,channel_link,likes,views,comments,duration,date,thumb,family_friend,extraction_date
FLOOR 2 ENDING + ALL CUTSCENES &amp; BOSSES! - DOORS Floor 2 Update [The Mines],UCmkpamA3VzxnbJuUAY8vMEw,http://www.youtube.com/channel/UCmkpamA3VzxnbJuUAY8vMEw,51512,2842190,4500,00:12:02,2024-08-30T21:13:31-07:00,http://img.youtube.com/vi/IXFKvV0hx20/maxresdefault.jpg,1,2024-09-02
"Victoria, Anitta - GET UP B*TCH! shake ya ass (with Anitta) (Official Video)",UCTbp-9j8d7KanfWwCfY0bqg,http://www.youtube.com/channel/UCTbp-9j8d7KanfWwCfY0bqg,86885,1023171,8800,00:04:14,2024-08-29T15:00:06-07:00,http://img.youtube.com/vi/-RYC77nQKAE/maxresdefault.jpg,1,2024-09-02
24 HORAS IMITANDO O LEOZIN *Sobrevivemos?,UC63iwP6BtIjxB6xn1GKR6Lw,http://www.youtube.com/channel/UC63iwP6BtIjxB6xn1GKR6Lw,95566,5327639,4800,00:10:53,2024-08-26T08:00:34-07:00,http://img.youtube.com/vi/XaEkHoMtc5Q/maxresdefault.jpg,1,2024-09-02
PRENDI 2700 PEIXES TROPICAIS DO MINECRAFT,UCJIl6Ahgkfwg1DRYcg-kY3g,http://www.youtube.com/channel/UCJIl6Ahgkfwg1DRYcg-kY3g,28144,971599,2300,00:26:57,2024-08-22T06:28:03-07:00,http://img.youtube.com/vi/gwuQ_Cp-oG8/maxresdefault.jpg,1,2024-09-02
"MC Hariel, MC Kelvinho, MC Tuto, MC Don Juan e MC Joãozinho VT - Marola Estrangeira - FUNK SUPERAÇÃO",UCU06XOgERkQV7xCsrNLTf4Q,http://www.youtube.com/channel/UCU06XOgERkQV7xCsrNLTf4Q,24870,517795,472,00:06:52,2024-08-29T17:00:08-07:00,http://img.youtube.com/vi/nQ064CgTQxE/maxresdefault.jpg,1,2024-09-02
"$1 vs $20,000 Football Seats",UCop6604O_QwmEum6e0Riz2w,http://www.youtube.com/channel/UCop6604O_QwmEum6e0Riz2w,110204,8516984,3200,00:32:25,2024-08-24T05:00:39-07:00,http://img.youtube.com/vi/_9LXdVwoHmU/maxresdefault.jpg,1,2024-09-02
skibidi toilet 77 (part 2),UCsSsgPaZ2GSmO6il8Cb5iGA,http://www.youtube.com/channel/UCsSsgPaZ2GSmO6il8Cb5iGA,708105,12424828,53000,00:03:15,2024-08-31T10:00:49-07:00,http://img.youtube.com/vi/x1HMTr0mp8U/maxresdefault.jpg,1,2024-09-02
VERGONHOSO: SANTOS FAZ 2-0 E MESMO COM UM JOGADOR A MAIS CEDE EMPATE,UCOSdNJnoPI6rxbrFihfd99A,http://www.youtube.com/channel/UCOSdNJnoPI6rxbrFihfd99A,9659,95958,2000,00:14:12,2024-08-30T20:58:29-07:00,http://img.youtube.com/vi/PZiPrkNxBdw/maxresdefault.jpg,1,2024-09-02
"Raphinha brilha com hat-trick, e Barcelona atropela o Real Valladolid em LALIGA",UCw5-xj3AKqEizC7MvHaIPqA,http://www.youtube.com/channel/UCw5-xj3AKqEizC7MvHaIPqA,79414,1518573,3400,00:10:43,2024-08-31T10:18:35-07:00,http://img.youtube.com/vi/TwrJup8dY1w/maxresdefault.jpg,1,2024-09-02
"WELCOME TO THE FAMILY, MOE! (Brawl Stars Animation)",UCooVYzDxdwTtGYAkcPmOgOw,http://www.youtube.com/channel/UCooVYzDxdwTtGYAkcPmOgOw,287130,10469573,11000,00:00:39,2024-08-29T01:16:15-07:00,http://img.youtube.com/vi/nkv5GsbUUfQ/maxresdefault.jpg,1,2024-09-02
"Pega Nóis, Não Pega Não - MC Tuto, MC Cebezinho e MC Kako (Áudio Oficial) DJ Oreia",UC1erzuuEMuxBcKHEBTigaCg,http://www.youtube.com/channel/UC1erzuuEMuxBcKHEBTigaCg,47939,3084254,817,00:04:57,2024-08-19T17:04:20-07:00,http://img.youtube.com/vi/pNEj9LTu6QE/maxresdefault.jpg,1,2024-09-02
LEÃO VENCE NO INÍCIO DA 2ª FASE - Remo 2x1 Botafogo - Melhores Momentos - Série C,UCMcc9elPZGpg6eU4i3YaCpA,http://www.youtube.com/channel/UCMcc9elPZGpg6eU4i3YaCpA,2884,122800,253,00:07:29,2024-08-31T16:30:31-07:00,http://img.youtube.com/vi/mKdTMWB40t0/maxresdefault.jpg,1,2024-09-02
