channel_id,channel_name,icon,banner,subscriptions,videos,views,date_creation,channel_location,extraction_date,silver_play_button,silver_gold_button,diamond_play_button
UClHJ7hWP-oGSOlZyeuqyBww,Lances Futebol,https://yt3.googleusercontent.com/kw7uBA2mnhav5ohaqzvOYjJtno_G0NKrue50Htqo_KYmR104vJ5p6BPQSaFJMWrCuIkwaIlGGQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/lM8W5lBgi1G3Vqh5inqJ5qq0l-Az2WuqVxKy7MIMnS8W-j2PVpcaSXmCROhnJ67D-VTRCe5H=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",45300,279,10986154,2021-11-11,Brasil,2024-09-02,false,false,false
UCEpCeCLUp6Oy75p7WixzjcA,Mc Cebezinho,https://yt3.googleusercontent.com/A1t18iX5dk0Oz2KYA4hyb5ZzQec8zgbV84UkmXp4z2gAYoM_pYTAazUAIXkMtvgxRDXa-fxr=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/qAfnznIQgAQunX-7JqPXSmB5uflAh8oRFT6sRf1zuKM8Jgfcesi0xpjSL3lGVlIEvFyjODnbpvU=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",170000,31,92777866,2015-01-8,Brasil,2024-09-02,true,false,false
UC371icpvZj2oQaocL0i9L-g,DUDU e CAROL,https://yt3.googleusercontent.com/J0LugXeHigVBnfRcqKQa39cox1FMUkMnMUh0w86DcZwGhFqRVeNkhOcSbiiA_QT5RuhMGC6d4w=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/7P3-dIU2-58DFVi2wk--05KrWMfPBBdDoHih5PUwMwu6a5qZX5XQm0E7UyRgKgfnFzal_7yhqg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",25300000,3073,13009526016,2013-03-2,Brasil,2024-09-02,true,true,true
UCRRu9OXVYd5clj2Bs29gUVQ,Zé Neto e Cristiano,https://yt3.googleusercontent.com/8B0vLJ3m4EjDNlyIHyYnzjG-WIwXzfybK8LBGCGhEtCjfQQRF1Xu6nJYnXd46sEDNaHaW-gFR4g=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Okr9rW7ilnk7IITeyQcmcwKUJvNh41Dq-FxCK3UGgiDzzivPI-IhrbLXSw5qsoijBU4bOD2a=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",15600000,489,13603697852,2012-04-2,Brasil,2024-09-02,true,true,true
UC896QaWKoSGdZTmy9rHyU_g,Esporte na Band,https://yt3.googleusercontent.com/izG4Fp23xVwBDAKKgfKUW13csHcqtwq048eN8fR52teg0iKNsofPv7x9paFTcgsjH09d99eSzqc=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/D1pQ9hZ1M0Ve8wQUBcEjgmheD_0STmM-I_QVTvb7GAN_Np4GV2NtT8Hk7nyHnjQVKF6iTxRLRw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",776000,2859,97984218,2018-04-18,Brasil,2024-09-02,true,false,false
UCSRhHqL5nIlhyt1-LIzsXJA,Mundo Torajo Jovem,https://yt3.googleusercontent.com/Wk0Jw2GJNsuAxanG_uTZLfORldSmI23oI0ppFnoHDAWm2oO6sa8d1wRj-Macml7I91l5UmrVfA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/vqJYnPy17kmWzhbJ5kkhKCLuzLy_BMe-pdHO5NUVqwtajYARhlRsz-6fkXbO3WfKFugqyvAm=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",628000,121,40883012,2023-08-16,Brasil,2024-09-02,true,false,false
UCJO_H1wW8zWTA1yHVy2s-Fw,Kleberiano,https://yt3.googleusercontent.com/cIZXDBv5kq2O5Miu-wpk0CeuJX1mXKvj5pjo2F1SMKVtbiD9C6w5JiOU8-yyphKKEDcSRdsCxg=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ejW4VhcRwwhBKfU6uB1V4E8d0jMH0V0SWqDiFtyCAjfUpo5FMs_J8Ft-Tn19urqQw7PNbu7Hcw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",2230000,502,416825287,2013-11-10,Brasil,2024-09-02,true,true,false
UCGR6txIsYGGngIqjIzXt93Q,Apuh 2,https://yt3.googleusercontent.com/9se87LKQGqpAHpjZ-ZrVRkd8jszScCDllsDTfZHcjg80crPGj2K4TqXV7nCwLA-4UaXXWZjp=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/gDY6cKlWJF375iKIhRiTpj36QkJNVNigMrvf_cqzxnFy9_pVK_9b8YkhJUFrIEnc2Tg0vJ3x=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",166000,24,7354307,2022-10-26,Brasil,2024-09-02,true,false,false
UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,https://yt3.googleusercontent.com/ytc/AIdro_ldT8kWzx6T1Q7LQL4ENvkeCGjFP6hUzWgHSVtjddJ5Ib0=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/AgaAy56OcOTNWBBIVO_ZrOJO-mm0ZuUEllsKiQ_Yt3XNQZAlCXkQ0ZXuD08ta-v96pVGmpV_=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",75600000,2014,35632195780,2008-06-4,Coreia do Sul,2024-09-02,true,true,true
UCEOGSdXwcXcNfcuDGbjmgOw,Julia MineGirl,https://yt3.googleusercontent.com/ytc/AIdro_nOrXpOqUTmS6jBDdMDmlEsflVdz2q-2hjmrslwODhvWoE=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/J_UujcHWjSwdOJZebVbJm8nDVJFOboddx9cBTq551Sz1rAHyFNAPO7RgWdBQkHYpH5lidkogug=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",11100000,2564,8466800866,2015-09-21,Brasil,2024-09-02,true,true,true
